GeoID,Years,GeoType,TotalPop,PctRural,PctMinority,PctHispanic,PctBlackNH,PctAPINH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns
34001,01yr,County,274549,12.71,41.41,16.84,14.89,7.46,15.79,11.30,11.60,30.10,13.03,7.70
34001,05yrs,County,274549,12.71,41.41,16.84,14.89,7.46,15.79,11.30,11.60,30.10,13.03,7.70
34001,10yrs,County,274549,12.71,41.41,16.84,14.89,7.46,16.02,11.04,12.65,28.35,14.14,9.40
34003,01yr,County,905116,0.10,37.46,16.05,5.18,14.44,31.40,5.40,7.00,51.70,6.77,6.60
34003,05yrs,County,905116,0.10,37.46,16.05,5.18,14.44,31.40,5.40,7.00,51.70,6.77,6.60
34003,10yrs,County,905116,0.10,37.46,16.05,5.18,14.44,30.93,5.25,7.45,49.80,6.99,7.90
34005,01yr,County,448734,6.66,29.35,6.42,15.88,4.32,10.69,8.44,5.90,41.10,6.58,4.10
34005,05yrs,County,448734,6.66,29.35,6.42,15.88,4.32,10.69,8.44,5.90,41.10,6.58,4.10
34005,10yrs,County,448734,6.66,29.35,6.42,15.88,4.32,10.03,8.65,6.25,38.95,6.50,4.65
34007,01yr,County,513657,1.62,39.72,14.24,18.45,5.09,11.81,12.24,10.70,34.30,12.41,6.70
34007,05yrs,County,513657,1.62,39.72,14.24,18.45,5.09,11.81,12.24,10.70,34.30,12.41,6.70
34007,10yrs,County,513657,1.62,39.72,14.24,18.45,5.09,11.43,11.64,11.10,32.70,12.74,7.70
34009,01yr,County,97265,17.45,13.10,6.22,4.36,0.87,4.75,11.64,6.10,35.90,8.96,5.60
34009,05yrs,County,97265,17.45,13.10,6.22,4.36,0.87,4.75,11.64,6.10,35.90,8.96,5.60
34009,10yrs,County,97265,17.45,13.10,6.22,4.36,0.87,4.79,11.13,7.65,33.60,9.79,6.15
34011,01yr,County,156898,23.03,49.69,27.06,18.72,1.20,10.87,12.87,18.80,17.30,15.52,9.60
34011,05yrs,County,156898,23.03,49.69,27.06,18.72,1.20,10.87,12.87,18.80,17.30,15.52,9.60
34011,10yrs,County,156898,23.03,49.69,27.06,18.72,1.20,10.67,12.78,20.50,15.85,17.14,10.85
34013,01yr,County,783969,0.01,66.81,20.30,39.33,4.52,28.99,10.05,13.00,37.40,15.03,11.50
34013,05yrs,County,783969,0.01,66.81,20.30,39.33,4.52,28.99,10.05,13.00,37.40,15.03,11.50
34013,10yrs,County,783969,0.01,66.81,20.30,39.33,4.52,27.40,10.11,13.85,35.70,15.87,12.60
34015,01yr,County,288288,8.35,18.94,4.76,9.68,2.63,5.82,10.36,6.40,35.20,7.47,4.30
34015,05yrs,County,288288,8.35,18.94,4.76,9.68,2.63,5.82,10.36,6.40,35.20,7.47,4.30
34015,10yrs,County,288288,8.35,18.94,4.76,9.68,2.63,5.65,10.46,6.95,33.10,7.71,5.00
34017,01yr,County,634266,0.00,69.18,42.23,11.24,13.24,42.72,6.23,12.80,46.60,14.16,11.60
34017,05yrs,County,634266,0.00,69.18,42.23,11.24,13.24,42.72,6.23,12.80,46.60,14.16,11.60
34017,10yrs,County,634266,0.00,69.18,42.23,11.24,13.24,42.86,6.62,14.50,42.95,15.65,13.90
34019,01yr,County,128349,49.57,12.26,5.24,2.52,3.26,10.40,6.28,4.30,55.50,3.69,2.80
34019,05yrs,County,128349,49.57,12.26,5.24,2.52,3.26,10.40,6.28,4.30,55.50,3.69,2.80
34019,10yrs,County,128349,49.57,12.26,5.24,2.52,3.26,9.60,5.95,4.70,53.10,4.07,3.15
34021,01yr,County,366513,3.48,45.46,15.09,19.47,8.92,24.59,8.26,10.30,44.20,11.22,7.00
34021,05yrs,County,366513,3.48,45.46,15.09,19.47,8.92,24.59,8.26,10.30,44.20,11.22,7.00
34021,10yrs,County,366513,3.48,45.46,15.09,19.47,8.92,23.40,8.26,11.25,42.85,11.28,8.20
34023,01yr,County,809858,0.67,50.77,18.40,8.84,21.32,34.10,6.74,10.30,45.10,8.35,6.70
34023,05yrs,County,809858,0.67,50.77,18.40,8.84,21.32,34.10,6.74,10.30,45.10,8.35,6.70
34023,10yrs,County,809858,0.67,50.77,18.40,8.84,21.32,33.33,6.50,10.50,43.55,8.47,7.80
34025,01yr,County,630380,3.73,23.31,9.67,6.97,4.95,13.24,7.60,5.70,49.90,6.38,5.00
34025,05yrs,County,630380,3.73,23.31,9.67,6.97,4.95,13.24,7.60,5.70,49.90,6.38,5.00
34025,10yrs,County,630380,3.73,23.31,9.67,6.97,4.95,13.36,7.46,6.40,46.95,6.97,6.20
34027,01yr,County,492276,6.77,24.93,11.47,2.87,8.92,19.34,5.90,4.90,57.10,4.95,4.60
34027,05yrs,County,492276,6.77,24.93,11.47,2.87,8.92,19.34,5.90,4.90,57.10,4.95,4.60
34027,10yrs,County,492276,6.77,24.93,11.47,2.87,8.92,19.15,5.52,5.45,54.85,4.80,5.30
34029,01yr,County,576567,2.90,14.05,8.29,2.88,1.74,7.77,8.95,6.90,32.90,10.49,4.50
34029,05yrs,County,576567,2.90,14.05,8.29,2.88,1.74,7.77,8.95,6.90,32.90,10.49,4.50
