ZoneIDOrig,County,CountyCode
A9001za,Middlesex,34023
A9002za,Morris,34027
A9003za,Camden,34007
A9004za,Atlantic,34001
A9005za,Somerset,34035
A9006za,Passaic,34031
A9007za,Passaic,34031
A9008za,Bergen,34003
A9009za,Essex,34013
A9010za,Morris,34027
A9011za,Atlantic,34001
A9012za,Bergen,34003
A9013za,Union,34039
A9014za,Union,34039
A9015za,Atlantic,34001
A9016za,Somerset,34035
A9017za,Ocean,34029
A9018za,Hudson,34017
A9019za,Essex,34013
A9020za,Hudson,34017
A9021za,Hudson,34017
A9022za,Middlesex,34023
A9023za,Middlesex,34023
A9024za,Cumberland,34011
A9025za,Camden,34007
A9026za,Monmouth,34025
A9027za,Atlantic,34001
A9028za,Essex,34013
A9029za,Middlesex,34023
A9030za,Mercer,34021
A9031za,Bergen,34003
A9032za,Monmouth,34025
A9033za,Passaic,34031
A9034za,Monmouth,34025
A9035za,Monmouth,34025
A9036za,Essex,34013
A9037za,Morris,34027
A9038za,Monmouth,34025
A9039za,Morris,34027
A9040za,Warren,34041
A9041za,Monmouth,34025
A9042za,Union,34039
A9043za,Essex,34013
A9044za,Ocean,34029
A9045za,Ocean,34029
A9046za,Bergen,34003
A9047za,Atlantic,34001
A9048za,Bergen,34003
A9049za,Gloucester,34015
A9050za,Warren,34041
A9051za,Passaic,34031
A9052za,Burlington,34005
A9053za,Union,34039
A9054za,Middlesex,34023
A9055za,Middlesex,34023
A9056za,Hudson,34017
A9057za,Cumberland,34011
A9058za,Somerset,34035
A9059za,Ocean,34029
A9060za,Essex,34013
A9061za,Somerset,34035
A9062za,Camden,34007
A9063za,Camden,34007
A9064za,Essex,34013
A9065za,Mercer,34021
A9066za,Monmouth,34025
A9067za,Middlesex,34023
A9068za,Mercer,34021
A9069za,Gloucester,34015
A9070za,Union,34039
A9071za,Passaic,34031
A9072za,Monmouth,34025
A9073za,Union,34039
A9074za,Union,34039
A9075za,Burlington,34005
A9076za,Mercer,34021
A9077za,Hudson,34017
A9078za,Middlesex,34023
A9079za,Morris,34027
A9080za,Bergen,34003
A9081za,Middlesex,34023
A9082za,Ocean,34029
A9083za,Camden,34007
A9084za,Burlington,34005
A9085za,Essex,34013
A9086za,Bergen,34003
A9087za,Sussex,34037
A9088za,Camden,34007
A9089za,Ocean,34029
A9090za,Union,34039
A9091za,Mercer,34021
A9092za,Burlington,34005
A9093za,Middlesex,34023
A9094za,Essex,34013
A9095za,Bergen,34003
A9096za,Burlington,34005
A9097za,Mercer,34021
A9098za,Camden,34007
A9099za,Middlesex,34023
A9100za,Passaic,34031
A9101za,Gloucester,34015
A9102za,Camden,34007
A9103za,Middlesex,34023
A9104za,Morris,34027
A9105za,Essex,34013
A9106za,Burlington,34005
A9107za,Middlesex,34023
A9108za,Bergen,34003
A9109za,Camden,34007
A9110za,Bergen,34003
A9111za,Hudson,34017
A9112za,Bergen,34003
A9113za,Passaic,34031
A9114za,Hudson,34017
A9115za,Monmouth,34025
A9116za,Hunterdon,34019
A9117za,Essex,34013
A9118za,Morris,34027
A9119za,Essex,34013
A9120za,Hudson,34017
A9121za,Essex,34013
A9122za,Burlington,34005
A9123za,Burlington,34005
A9124za,Bergen,34003
A9125za,Ocean,34029
A9126za,Hudson,34017
A9127za,Hudson,34017
A9128za,Middlesex,34023
A9129za,Bergen,34003
A9130za,Ocean,34029
A9131za,Bergen,34003
A9132za,Hudson,34017
A9133za,Gloucester,34015
A9134za,Passaic,34031
A9135za,Essex,34013
A9136za,Passaic,34031
A9137za,Gloucester,34015
A9138za,Morris,34027
A9139za,Monmouth,34025
A9140za,Monmouth,34025
A9141za,Hunterdon,34019
A9142za,Sussex,34037
A9143za,Bergen,34003
A9144za,Somerset,34035
A9145za,Ocean,34029
A9146za,Cumberland,34011
A9147za,Union,34039
A9148za,Ocean,34029
B0118za,Cape May,34009
B0146za,Salem,34033
