GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,GeoName,GeoType
10001,Both,AllSite,05yrs,883495,5540,510.4,496.7,524.5,557028,4099,532.9,516,550.2,235174,1107,457.2,429.9,485.8,62427,175,458.3,389.1,535.5,Kent,County
10003,Both,AllSite,05yrs,2780825,15703,474.2,466.7,481.9,1627830,11199,490.3,480.9,499.9,710334,3271,458,441.9,474.6,276508,621,403,368.3,439.9,New,County
10005,Both,AllSite,05yrs,1121919,8787,456.9,446.4,467.7,854625,7774,462.5,450.5,474.7,142887,651,429.3,395.5,465.3,102881,162,290.1,242.1,344.1,Sussex,County
10001,Female,AllSite,05yrs,457824,2654,466.2,448,485,286005,1999,506.2,483,530.2,124715,509,392.8,358.4,429.5,31256,82,387.9,304.6,485.5,Kent,County
10003,Female,AllSite,05yrs,1434653,7956,449.6,439.5,460,838488,5671,475.2,462.1,488.6,376343,1700,420.1,399.8,441.1,136189,327,398.2,352.3,448,New,County
10005,Female,AllSite,05yrs,578963,4020,416.5,401.9,431.6,444818,3518,418.2,401.7,435.4,73656,322,400.5,356,449.1,49194,96,333,262.5,415,Sussex,County
10001,Male,AllSite,05yrs,425671,2886,568.4,547.4,590.1,271023,2100,569.7,544.8,595.5,110459,598,539.8,496.1,586.4,31171,93,577.5,457.2,716.8,Kent,County
10003,Male,AllSite,05yrs,1346172,7747,512.3,500.6,524.1,789342,5528,518.1,504.1,532.5,333991,1571,515.9,489.3,543.5,140319,294,414.5,361.7,472,New,County
10005,Male,AllSite,05yrs,542956,4767,507.4,491.9,523.4,409807,4256,516.2,498.9,534.1,69231,329,474.6,421.3,532.8,53687,66,254.6,190,331.9,Sussex,County
10001,Female,Breast,05yrs,457824,760,135,125.2,145.4,286005,555,141.5,129.4,154.6,124715,161,125.1,106,146.6,31256,22,107.2,65.7,163.4,Kent,County
10003,Female,Breast,05yrs,1434653,2482,143,137.2,148.9,838488,1689,146.3,138.9,153.9,376343,601,146.1,134.3,158.6,136189,93,107.8,85.5,133.7,New,County
10005,Female,Breast,05yrs,578963,1150,125.4,117.1,134.1,444818,998,125.9,116.5,136,73656,106,134.5,108.8,164.4,49194,25,85.8,53.2,129.9,Sussex,County
10001,Male,Prostate,05yrs,425671,847,156,145.4,167.1,271023,501,125.4,114.4,137.2,110459,268,228.3,201.2,258.2,31171,23,152.5,93,232.2,Kent,County
10003,Male,Prostate,05yrs,1346172,2054,125.9,120.4,131.6,789342,1224,105.1,99.2,111.4,333991,595,180.4,165.6,196.3,140319,71,103.4,78.3,133.1,New,County
10005,Male,Prostate,05yrs,542956,1150,108.9,102.4,115.8,409807,968,101.4,94.8,108.5,69231,127,163.1,134.7,195.9,53687,,,,,Sussex,County
10001,Both,Lung,05yrs,883495,795,69.4,64.6,74.5,557028,633,76,70.1,82.3,235174,135,55.7,46.4,66.2,62427,17,52.2,29.7,83.6,Kent,County
10003,Both,Lung,05yrs,2780825,1995,59.2,56.6,61.9,1627830,1558,64.4,61.2,67.8,710334,382,56.5,50.7,62.7,276508,26,22.7,14.4,33.6,New,County
10005,Both,Lung,05yrs,1121919,1337,61.9,58.5,65.5,854625,1236,64.3,60.5,68.3,142887,70,46.7,36,59.6,102881,,,,,Sussex,County
10001,Female,Lung,05yrs,457824,390,61.8,55.8,68.4,286005,320,71.3,63.6,79.9,124715,59,42.7,32.3,55.6,31256,,,,,Kent,County
10003,Female,Lung,05yrs,1434653,1054,56.2,52.8,59.8,838488,820,61.1,56.9,65.6,376343,207,53,45.8,61,136189,,,,,New,County
10005,Female,Lung,05yrs,578963,618,52.9,48.6,57.6,444818,572,55.2,50.5,60.5,73656,33,38.7,26.4,55.1,49194,,,,,Sussex,County
10001,Male,Lung,05yrs,425671,405,79.2,71.5,87.5,271023,313,82.4,73.3,92.4,110459,76,72.6,56.7,91.6,31171,,,,,Kent,County
10003,Male,Lung,05yrs,1346172,941,63.3,59.2,67.6,789342,738,68.7,63.7,74,333991,175,61.9,52.5,72.3,140319,,,,,New,County
10005,Male,Lung,05yrs,542956,719,72.7,67.2,78.6,409807,664,75,69,81.6,69231,37,59,40.2,83.2,53687,,,,,Sussex,County
10001,Both,CRC,05yrs,883495,425,40.3,36.5,44.5,557028,322,43,38.2,48.2,235174,80,35.6,28,44.6,62427,18,44.6,26.2,70.4,Kent,County
10003,Both,CRC,05yrs,2780825,1233,37.9,35.7,40.1,1627830,840,37.4,34.8,40.1,710334,290,41.8,36.9,47.1,276508,63,44.6,33,58.5,New,County
10005,Both,CRC,05yrs,1121919,626,34.6,31.6,37.7,854625,551,35.3,31.9,38.9,142887,55,36.7,27.3,48.4,102881,,,,,Sussex,County
10001,Female,CRC,05yrs,457824,198,34.4,29.6,39.7,286005,154,38.6,32.5,45.7,124715,35,27.7,19.1,38.8,31256,,,,,Kent,County
10003,Female,CRC,05yrs,1434653,609,33.8,31.1,36.7,838488,415,33.7,30.3,37.3,376343,146,35.4,29.7,41.9,136189,33,47.2,31.1,67.7,New,County
10005,Female,CRC,05yrs,578963,284,29.5,25.8,33.7,444818,245,29.5,25.3,34.4,73656,27,33.1,21.4,48.9,49194,,,,,Sussex,County
10001,Male,CRC,05yrs,425671,227,47.5,41.4,54.3,271023,168,48.1,40.9,56.3,110459,45,45.2,32.7,61,31171,,,,,Kent,County
10003,Male,CRC,05yrs,1346172,624,42.5,39.2,46.1,789342,425,41.3,37.3,45.6,333991,144,51.5,43,61.2,140319,30,40.8,25.7,60.6,New,County
10005,Male,CRC,05yrs,542956,342,40.7,36.1,45.8,409807,306,42.2,37,48.1,69231,28,42.2,27.2,62.5,53687,,,,,Sussex,County
10001,Both,Mela,05yrs,883495,280,27.1,23.9,30.6,557028,266,36.9,32.4,41.9,235174,,,,,62427,,,,,Kent,County
10003,Both,Mela,05yrs,2780825,841,25.7,24,27.6,1627830,804,36.1,33.5,38.9,710334,,,,,276508,,,,,New,County
10005,Both,Mela,05yrs,1121919,667,35.7,32.7,38.9,854625,623,39.4,35.8,43.3,142887,,,,,102881,,,,,Sussex,County
10001,Female,Mela,05yrs,457824,114,22,18,26.6,286005,110,31.6,25.6,38.6,124715,,,,,31256,,,,,Kent,County
10003,Female,Mela,05yrs,1434653,356,20.7,18.5,23,838488,337,30,26.7,33.7,376343,,,,,136189,,,,,New,County
10005,Female,Mela,05yrs,578963,226,24.4,20.9,28.3,444818,204,26.4,22.2,31.4,73656,,,,,49194,,,,,Sussex,County
10001,Male,Mela,05yrs,425671,166,34.2,29,40,271023,156,44.1,37.2,52,110459,,,,,31171,,,,,Kent,County
10003,Male,Mela,05yrs,1346172,485,32.8,29.9,35.9,789342,467,44.6,40.5,49,333991,,,,,140319,,,,,New,County
10005,Male,Mela,05yrs,542956,441,48.8,43.9,54.1,409807,419,54.4,48.5,60.9,69231,,,,,53687,,,,,Sussex,County
10001,Both,Urinary,05yrs,883495,254,22.8,20,25.9,557028,214,26.4,22.9,30.3,235174,30,11.7,7.8,16.9,62427,,,,,Kent,County
10003,Both,Urinary,05yrs,2780825,775,23.7,22,25.4,1627830,626,26.1,24.1,28.3,710334,104,16.2,13.1,19.7,276508,23,22.7,13.9,34.3,New,County
10005,Both,Urinary,05yrs,1121919,495,23.6,21.4,25.9,854625,462,24.7,22.3,27.4,142887,17,11.9,6.8,19.4,102881,,,,,Sussex,County
10001,Female,Urinary,05yrs,457824,69,11.3,8.8,14.4,286005,57,13,9.7,17.1,124715,,,,,31256,,,,,Kent,County
10003,Female,Urinary,05yrs,1434653,180,9.8,8.4,11.4,838488,140,10.4,8.7,12.4,376343,29,7.5,5,10.9,136189,,,,,New,County
10005,Female,Urinary,05yrs,578963,111,10,8.1,12.4,444818,107,11.1,8.8,14,73656,,,,,49194,,,,,Sussex,County
10001,Male,Urinary,05yrs,425671,185,37.2,31.9,43.1,271023,157,42.8,36.2,50.3,110459,21,17.9,11,27.8,31171,,,,,Kent,County
10003,Male,Urinary,05yrs,1346172,595,41.9,38.5,45.5,789342,486,46.4,42.2,50.8,333991,75,28.8,22.3,36.4,140319,17,40.7,22.8,65.1,New,County
10005,Male,Urinary,05yrs,542956,384,39.7,35.6,44.2,409807,355,40.9,36.5,45.8,69231,,,,,53687,,,,,Sussex,County
10001,Both,NHL,05yrs,883495,185,17.2,14.7,19.9,557028,148,18.6,15.6,22,235174,31,13.6,9.1,19.5,62427,,,,,Kent,County
10003,Both,NHL,05yrs,2780825,623,19,17.5,20.6,1627830,462,19.9,18.1,21.9,710334,101,14.6,11.8,17.9,276508,34,23.7,15.5,34.2,New,County
10005,Both,NHL,05yrs,1121919,345,18.6,16.5,21,854625,304,17.7,15.5,20.2,142887,25,19.2,12.1,28.8,102881,,,,,Sussex,County
10001,Female,NHL,05yrs,457824,79,13.6,10.6,17.1,286005,61,14.2,10.7,18.5,124715,,,,,31256,,,,,Kent,County
10003,Female,NHL,05yrs,1434653,276,15.4,13.5,17.4,838488,202,16.3,14,18.9,376343,52,12.9,9.6,17.1,136189,,,,,New,County
10005,Female,NHL,05yrs,578963,161,15.7,13.2,18.8,444818,139,14.9,12.3,18.2,73656,16,21.5,11.8,35.9,49194,,,,,Sussex,County
10001,Male,NHL,05yrs,425671,106,21.3,17.4,26,271023,87,23.6,18.7,29.4,110459,17,15.3,8.7,24.9,31171,,,,,Kent,County
10003,Male,NHL,05yrs,1346172,347,23.8,21.3,26.6,789342,260,24.8,21.8,28.1,333991,49,16.7,12.1,22.4,140319,19,25.6,13.7,42.4,New,County
10005,Male,NHL,05yrs,542956,184,21.8,18.4,25.8,409807,165,20.8,17.3,25,69231,,,,,53687,,,,,Sussex,County
10001,Both,Kidney,05yrs,883495,231,21.3,18.5,24.3,557028,165,21.2,18,24.9,235174,57,24.7,18.6,32.2,62427,,,,,Kent,County
10003,Both,Kidney,05yrs,2780825,562,17,15.6,18.5,1627830,379,17.1,15.3,19,710334,141,19.1,16,22.7,276508,28,18.4,11.7,27.3,New,County
10005,Both,Kidney,05yrs,1121919,288,15.4,13.5,17.6,854625,253,16.4,14.1,19.1,142887,30,19,12.7,27.5,102881,,,,,Sussex,County
10001,Female,Kidney,05yrs,457824,81,14.1,11.1,17.7,286005,53,12.9,9.5,17.2,124715,22,17.8,11,27.2,31256,,,,,Kent,County
10003,Female,Kidney,05yrs,1434653,215,12.1,10.5,13.9,838488,145,12.3,10.3,14.6,376343,53,12.6,9.4,16.6,136189,,,,,New,County
10005,Female,Kidney,05yrs,578963,95,10.9,8.5,13.8,444818,83,11.8,8.8,15.6,73656,,,,,49194,,,,,Sussex,County
10001,Male,Kidney,05yrs,425671,150,29.6,25,34.9,271023,112,30.6,25,37.1,110459,35,33.5,23.1,46.9,31171,,,,,Kent,County
