GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,GeoName,GeoType
10,Both,AllSite,05yrs,4786239,30040,475.3,469.8,480.9,3039483,23073,488.2,481.5,495,1088395,5030,453.4,440.5,466.6,441816,959,385.8,359.2,413.7,Delaware,State
10,Female,AllSite,05yrs,2471440,14633,442.8,435.3,450.4,1569311,11188,462.1,452.8,471.6,574714,2532,411,394.7,427.9,216639,506,379.4,344.2,416.9,Delaware,State
10,Male,AllSite,05yrs,2314799,15407,520.3,511.9,528.9,1470172,11885,525.6,515.7,535.6,513681,2498,513.8,492.9,535.5,225177,453,400,359.5,443.4,Delaware,State
10,Female,Breast,05yrs,2471440,4392,136.3,132.1,140.7,1569311,3242,138.4,133.2,143.8,574714,868,139.8,130.4,149.7,216639,140,101.8,84.6,121.3,Delaware,State
10,Male,Prostate,05yrs,2314799,4057,126,122.1,130,1470172,2694,107.4,103.3,111.7,513681,990,188.2,176.2,200.8,225177,109,102,82.1,124.7,Delaware,State
10,Both,Lung,05yrs,4786239,4127,61.8,59.9,63.7,3039483,3427,66.2,63.9,68.5,1088395,587,54.9,50.4,59.7,441816,57,30,22.3,39.1,Delaware,State
10,Female,Lung,05yrs,2471440,2062,56.3,53.8,58.8,1569311,1712,60.7,57.8,63.8,574714,299,49,43.4,55,216639,25,25.2,15.8,37.5,Delaware,State
10,Male,Lung,05yrs,2314799,2065,68.9,65.9,72,1470172,1715,73.1,69.6,76.8,513681,288,63.5,56,71.7,225177,32,35.7,23.8,50.7,Delaware,State
10,Both,CRC,05yrs,4786239,2284,37.2,35.6,38.8,3039483,1713,37.4,35.6,39.4,1088395,425,39.7,35.9,43.8,441816,92,38.4,30.2,47.9,Delaware,State
10,Female,CRC,05yrs,2471440,1091,32.5,30.6,34.6,1569311,814,33,30.6,35.6,574714,208,33.4,28.9,38.4,216639,45,38.7,27.4,52.5,Delaware,State
10,Male,CRC,05yrs,2314799,1193,42.7,40.2,45.3,1470172,899,42.6,39.7,45.7,513681,217,48.7,42.2,56,225177,47,37.7,26.6,51.5,Delaware,State
10,Both,Mela,05yrs,4786239,1788,29,27.6,30.4,3039483,1693,37.5,35.6,39.5,1088395,,,,,441816,,,,,Delaware,State
10,Female,Mela,05yrs,2471440,696,22,20.3,23.8,1569311,651,29.4,27,32.1,574714,,,,,216639,,,,,Delaware,State
10,Male,Mela,05yrs,2314799,1092,38,35.7,40.4,1470172,1042,47.8,44.8,51,513681,,,,,225177,,,,,Delaware,State
10,Both,Urinary,05yrs,4786239,1524,23.4,22.2,24.7,3039483,1302,25.6,24.2,27.1,1088395,151,14.6,12.3,17.3,441816,33,18.3,12.2,26,Delaware,State
10,Female,Urinary,05yrs,2471440,360,10.1,9,11.2,1569311,304,10.9,9.7,12.3,574714,41,7.1,5,9.6,216639,,,,,Delaware,State
10,Male,Urinary,05yrs,2314799,1164,40.3,38,42.7,1470172,998,43.7,41,46.6,513681,110,25.2,20.5,30.7,225177,25,33.2,20.6,49.4,Delaware,State
10,Both,NHL,05yrs,4786239,1153,18.6,17.5,19.7,3039483,914,19,17.7,20.3,1088395,157,14.8,12.5,17.3,441816,50,20.7,14.8,28.1,Delaware,State
10,Female,NHL,05yrs,2471440,516,15.2,13.9,16.7,1569311,402,15.5,13.9,17.2,574714,82,13.6,10.8,17,216639,21,17.8,10.4,27.8,Delaware,State
10,Male,NHL,05yrs,2314799,637,22.6,20.8,24.5,1470172,512,23.2,21.1,25.4,513681,75,15.8,12.3,19.9,225177,29,23.9,14.8,35.8,Delaware,State
10,Both,Kidney,05yrs,4786239,1081,17.2,16.1,18.3,3039483,797,17.3,16.1,18.7,1088395,228,20.4,17.8,23.3,441816,35,14.5,9.7,20.5,Delaware,State
10,Female,Kidney,05yrs,2471440,391,11.8,10.6,13.2,1569311,281,11.9,10.4,13.5,574714,86,13.7,10.9,17,216639,17,13.2,7.3,21.6,Delaware,State
