GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,GeoName,GeoType
A9001,Both,AllSite,05yrs,313287,1341,425.8,402.5,450.1,233407,1120,432.2,406.1,459.6,33817,100,362.5,289.6,447.6,19099,41,589.7,399.9,827.8,New Castle 7,Zone
A9002,Both,AllSite,05yrs,294749,1872,525.3,501.1,550.4,191624,1395,557.1,527.1,588.6,75967,363,456.8,409.9,507.7,17558,53,442.4,320.3,592.2,Kent 1,Zone
A9003,Both,AllSite,05yrs,329254,2190,450.7,431.1,471.2,244777,1827,459.6,437.1,483.2,45757,226,412.3,358.6,472,14122,58,740,552,965.5,New Castle 4,Zone
A9004,Both,AllSite,05yrs,386847,3623,438.8,421.7,456.7,334087,3378,438,419.6,457.3,23497,102,341.9,275.8,420.1,21502,48,378.2,259.3,526.7,Sussex 3,Zone
A9005,Both,AllSite,05yrs,315313,2048,419.2,399.9,439.2,261890,1845,431.3,410,453.6,16811,63,290,221.4,374.9,13673,36,375.6,257.6,525.5,New Castle 3,Zone
A9006,Both,AllSite,05yrs,294002,1646,489.1,465.1,514.1,154532,1064,505.3,473.6,538.6,102247,460,475.8,432.2,522.6,25033,65,421.8,320.7,542.4,Kent 3,Zone
A9007,Both,AllSite,05yrs,353931,2103,424.3,405.4,443.9,249126,1722,429.7,408,452.4,68967,303,429.4,379.8,483.5,29298,44,306.3,213,422.5,Sussex 2,Zone
A9008,Both,AllSite,05yrs,295969,1537,593.2,560.3,627.5,139882,991,668.5,622.6,716.8,92870,425,550.9,493.9,612.5,33816,57,539.6,361,762.6,New Castle 8,Zone
A9009,Both,AllSite,05yrs,312126,1936,608.2,580,637.5,218973,1490,618.9,586.2,652.9,69929,333,570,505.2,640.5,12282,43,557.4,390.2,767.8,New Castle 9,Zone
A9010,Both,AllSite,05yrs,304022,1601,437.2,415.6,459.7,151330,1115,481.7,451.6,513.5,75777,321,407.1,362.7,455.4,69396,130,293.7,241.1,353.7,New Castle 2,Zone
A9011,Both,AllSite,05yrs,294744,1977,507.8,484.9,531.6,210872,1608,526.3,499.8,553.9,56960,277,429.2,377.4,486.2,19835,55,533.4,390.7,708.1,Kent 2,Zone
A9012,Both,AllSite,05yrs,298228,1612,483.9,459.9,508.9,118689,945,543.8,507.5,582.3,116324,514,431.8,392.9,473.5,49038,96,365.1,281.6,463.2,New Castle 6,Zone
A9013,Both,AllSite,05yrs,292177,1519,475,450.6,500.3,76274,472,484.2,439.5,532.7,188827,968,484.7,453.6,517.4,20307,45,295.7,211.3,401.5,New Castle 1,Zone
A9014,Both,AllSite,05yrs,320448,1808,478.2,455.9,501.4,182608,1316,491.4,463.7,520.6,70222,300,436.8,385.9,492.4,44773,107,466.4,366.4,582.3,New Castle 5,Zone
A9015,Both,AllSite,05yrs,381141,3007,497.4,478.2,517.2,271412,2634,513.6,491.3,536.9,50423,237,461.9,402.5,527.6,52081,67,268.1,197.8,352.9,Sussex 1,Zone
A9001,Female,AllSite,05yrs,162386,661,405.4,374,438.8,120378,546,416.1,380.2,454.7,17798,52,332.5,242.9,443.3,10849,17,545.5,284.7,911.6,New Castle 7,Zone
A9002,Female,AllSite,05yrs,152387,909,485,453.1,518.8,98855,682,527.5,486.8,570.9,39822,174,409.4,349.6,476.6,8591,23,339,208.2,522,Kent 1,Zone
A9003,Female,AllSite,05yrs,171004,1126,437.1,410.2,465.6,126951,941,447.5,416.5,480.6,25044,120,387.4,318.9,466.9,6208,29,761.6,486.4,1123.5,New Castle 4,Zone
A9004,Female,AllSite,05yrs,202011,1651,402.6,378.6,428.1,175400,1531,396.1,370.5,423.4,12271,56,370.3,274.2,490.3,10419,31,418.3,265,622.6,Sussex 3,Zone
A9005,Female,AllSite,05yrs,164390,1041,410.1,383.2,438.5,136958,947,428.6,398.5,460.7,8873,31,257.2,172,374.7,6650,,,,,New Castle 3,Zone
A9006,Female,AllSite,05yrs,153690,799,441.6,410.1,474.9,78800,530,487.4,443.2,534.9,54925,215,404.9,350.9,464.7,13110,34,398.6,271.6,560.2,Kent 3,Zone
A9007,Female,AllSite,05yrs,183728,976,382.6,357.3,409.2,129535,783,383.8,354.6,415,37040,154,389.4,327.5,459.8,13724,24,336,200.5,521.3,Sussex 2,Zone
