GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI,GeoName,GeoType
34,Both,AllSite,01yr,9260817,55776,469.7,465.7,473.7,4942217,38348,501.1,495.8,506.5,1253631,6383,457.5,446.1,469.2,2063865,6501,364.6,355.4,373.9,982782,3230,305.4,294.9,316.3,18322,35,175.9,119.5,249.2,New Jersey,State
34,Female,AllSite,01yr,4704672,27701,447.2,441.8,452.7,2507858,18792,479.7,472.3,487.2,658083,3243,418.0,403.4,433.0,1028459,3416,355.4,343.4,367.8,500828,1806,322.6,307.7,338.0,9444,,,,,New Jersey,State
34,Male,AllSite,01yr,4556145,28075,506.5,500.5,512.6,2434359,19556,536.3,528.5,544.2,595548,3140,524.6,505.5,544.3,1035406,3085,388.3,373.8,403.2,481954,1424,290.4,275.2,306.3,8878,20,212.8,125.0,337.4,New Jersey,State
34001,Both,AllSite,01yr,275382,1827,474.5,451.8,498.1,154365,1295,493.7,464.3,524.8,41962,234,474.7,413.9,542.1,55537,175,393.2,333.3,460.4,22811,69,237.2,182.4,304.4,707,,,,,Atlantic County,County
34001,Female,AllSite,01yr,141224,883,448.8,417.8,481.7,79005,616,471.7,430.2,516.7,22435,111,399.4,326.1,485.0,27636,95,408.1,326.4,503.8,11812,36,248.8,171.5,350.9,336,,,,,Atlantic County,County
34001,Male,AllSite,01yr,134158,944,511.4,477.7,547.0,75360,679,528.8,486.5,574.4,19527,123,586.4,483.3,705.4,27901,80,378.8,293.5,480.3,10999,33,217.9,148.1,313.7,371,,,,,Atlantic County,County
34003,Both,AllSite,01yr,953540,5908,462.0,449.9,474.3,509982,4140,511.4,494.9,528.4,57380,293,421.5,373.4,474.3,216296,718,370.1,342.4,399.4,168569,634,307.9,284.0,333.4,1313,,,,,Bergen County,County
34003,Female,AllSite,01yr,486192,2973,445.7,429.2,462.7,257976,2001,485.5,462.3,509.6,29937,164,424.4,360.5,497.3,109572,401,370.7,334.5,409.7,87992,365,329.5,296.0,366.0,715,,,,,Bergen County,County
34003,Male,AllSite,01yr,467348,2935,491.5,473.4,510.1,252006,2139,552.3,528.1,577.5,27443,129,420.2,347.8,503.7,106724,317,388.0,343.0,437.0,80577,269,286.4,252.5,323.8,598,,,,,Bergen County,County
34005,Both,AllSite,01yr,466101,3014,478.4,460.9,496.4,304731,2235,483.6,462.7,505.3,86102,428,420.9,381.0,464.0,44638,150,487.8,407.1,578.8,29549,113,363.6,298.9,438.3,1081,,,,,Burlington County,County
34005,Female,AllSite,01yr,236164,1505,458.4,434.5,483.3,154506,1125,474.2,444.8,505.3,44057,207,375.4,324.7,432.0,21704,79,471.1,368.7,591.9,15349,66,395.0,304.5,504.5,548,,,,,Burlington County,County
34005,Male,AllSite,01yr,229937,1509,511.2,485.0,538.5,150225,1110,505.9,475.4,538.1,42045,221,482.4,418.5,553.4,22934,71,523.9,395.7,677.2,14200,47,323.5,236.2,433.1,533,,,,,Burlington County,County
34007,Both,AllSite,01yr,524649,3321,508.9,491.3,527.0,286678,2228,513.7,491.6,536.6,103061,582,521.5,478.9,566.9,100492,305,438.5,387.8,493.6,33213,128,336.2,279.8,401.1,1205,,,,,Camden County,County
34007,Female,AllSite,01yr,270629,1672,482.1,458.6,506.6,146506,1109,492.5,462.1,524.5,55218,302,472.4,419.5,530.3,51007,146,372.5,311.6,441.4,17272,81,399.9,316.6,499.6,626,,,,,Camden County,County
34007,Male,AllSite,01yr,254020,1649,552.9,525.7,581.1,140172,1119,550.5,517.4,585.3,47843,280,613.0,539.2,694.0,49485,159,527.4,443.3,621.8,15941,47,264.0,192.5,354.4,579,,,,,Camden County,County
34009,Both,AllSite,01yr,95405,936,515.5,479.2,554.4,82016,861,510.8,472.3,552.4,4325,30,548.4,366.2,795.6,7754,18,385.0,218.7,619.3,1132,,,,,178,,,,,Cape May County,County
34009,Female,AllSite,01yr,49013,411,432.9,386.3,484.6,42454,383,440.3,389.6,497.2,2096,,,,,3747,,,,,626,,,,,90,,,,,Cape May County,County
34009,Male,AllSite,01yr,46392,525,611.9,555.6,673.3,39562,478,594.8,536.4,659.4,2229,18,737.9,429.7,1187.6,4007,,,,,506,,,,,88,,,,,Cape May County,County
34011,Both,AllSite,01yr,151347,900,491.4,459.2,525.3,65307,603,544.5,499.1,593.7,28807,130,465.8,386.4,556.8,53867,144,342.3,286.4,405.6,2287,,,,,1079,,,,,Cumberland County,County
