"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2015"	"All Sites"	"AllRaceEth"	456.778	0.358	456.078	457.480	1702207	320738994
"Male and female"	"1yr_2015"	"All Sites"	"Non-Hispanic White"	474.621	0.431	473.776	475.468	1300772	201124382
"Male and female"	"1yr_2015"	"All Sites"	"Non-Hispanic Black"	464.805	1.124	462.604	467.014	182781	41738552
"Male and female"	"1yr_2015"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	410.919	4.306	402.522	419.443	10016	2685740
"Male and female"	"1yr_2015"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	300.594	1.313	298.027	303.177	54784	19078387
"Male and female"	"1yr_2015"	"All Sites"	"Hispanic (All Races)"	356.859	1.018	354.866	358.860	136184	56111933
"Male and female"	"1yr_2015"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	17670	0
"Male and female"	"1yr_2015"	"Oral Cavity and Pharynx"	"AllRaceEth"	12.025	0.057	11.913	12.138	45888	320738994
"Male and female"	"1yr_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	13.328	0.072	13.189	13.469	37215	201124382
"Male and female"	"1yr_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	9.013	0.153	8.717	9.317	3719	41738552
"Male and female"	"1yr_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	9.507	0.626	8.320	10.816	252	2685740
"Male and female"	"1yr_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.378	0.216	7.961	8.812	1566	19078387
"Male and female"	"1yr_2015"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.214	0.145	6.933	7.502	2741	56111933
"Male and female"	"1yr_2015"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	395	0
"Male and female"	"1yr_2015"	"Esophagus"	"AllRaceEth"	4.585	0.035	4.517	4.655	17645	320738994
"Male and female"	"1yr_2015"	"Esophagus"	"Non-Hispanic White"	5.036	0.043	4.952	5.120	14539	201124382
